DISTRICT,Year,Civil,Criminal,Total
BAGALKOT,2001,4,3,7
BAGALKOT,2002,5,1,6
BAGALKOT,2003,3,1,4
BAGALKOT,2004,4,3,7
BAGALKOT,2005,9,3,12
BAGALKOT,2006,28,3,31
BAGALKOT,2007,23,4,27
BAGALKOT,2008,27,10,37
BAGALKOT,2009,87,29,116
BAGALKOT,2010,127,43,170
BAGALKOT,2011,196,128,324
BAGALKOT,2012,314,207,521
BAGALKOT,2013,526,369,895
BAGALKOT,2014,876,595,1471
BAGALKOT,2015,1312,968,2280
BAGALKOT,2016,1565,1498,3063
BAGALKOT,2017,2749,1835,4584
BAGALKOT,2018,4688,2892,7580
BELLARI,2001,0,2,2
BELLARI,2002,2,0,2
BELLARI,2003,6,0,6
BELLARI,2004,2,0,2
BELLARI,2005,6,0,6
BELLARI,2006,11,2,13
BELLARI,2007,13,1,14
BELLARI,2008,25,4,29
BELLARI,2009,29,9,38
BELLARI,2010,69,14,83
BELLARI,2011,150,44,194
BELLARI,2012,296,146,442
BELLARI,2013,610,397,1007
BELLARI,2014,989,686,1675
BELLARI,2015,1257,1907,3164
BELLARI,2016,1994,2733,4727
BELLARI,2017,2965,3941,6906
BELLARI,2018,5339,4922,10261
BELAGAVI,2001,30,10,40
BELAGAVI,2002,31,8,39
BELAGAVI,2003,43,17,60
BELAGAVI,2004,60,22,82
BELAGAVI,2005,100,25,125
BELAGAVI,2006,79,36,115
BELAGAVI,2007,156,98,254
BELAGAVI,2008,235,129,364
BELAGAVI,2009,278,212,490
BELAGAVI,2010,496,384,880
BELAGAVI,2011,805,631,1436
BELAGAVI,2012,1472,1024,2496
BELAGAVI,2013,1853,1300,3153
BELAGAVI,2014,2478,1807,4285
BELAGAVI,2015,4003,3023,7026
BELAGAVI,2016,5795,4184,9979
BELAGAVI,2017,8722,6886,15608
BELAGAVI,2018,12237,10744,22981
BENGALURU,2001,103,101,204
BENGALURU,2002,142,169,311
BENGALURU,2003,211,396,607
BENGALURU,2004,498,324,822
BENGALURU,2005,380,405,785
BENGALURU,2006,471,524,995
BENGALURU,2007,525,971,1496
BENGALURU,2008,569,1014,1583
BENGALURU,2009,778,1185,1963
BENGALURU,2010,1080,1719,2799
BENGALURU,2011,1426,2478,3904
BENGALURU,2012,2082,2825,4907
BENGALURU,2013,2635,4057,6692
BENGALURU,2014,3720,5400,9120
BENGALURU,2015,4700,7434,12134
BENGALURU,2016,6124,12913,19037
BENGALURU,2017,9315,19318,28633
BENGALURU,2018,16799,40277,57076
